CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit
1,vectorized,32,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,6.0330325370346e-06,5.84448021240247e-06,6.52624118715771e-07,0.000627171778085855,27.50131,352.88125,9.1726122773895e-05,0,1,1,0.0142980957640951,0.0105681418602103,0.0317108009088289,0.0269732983925573,0.03,0.03
2,loop,32,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,6.0330325370346e-06,5.84448021240247e-06,6.52624118715771e-07,0.000627171778085855,28.786106,352.88125,9.1726122773895e-05,0,1,1,0.0142980957640951,0.0105681418602103,0.0317108009088289,0.0269732983925573,0.03,0.03
3,vectorized,32,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,6.03277912520142e-06,5.84336597639346e-06,6.52574012921012e-07,0.000627123626417092,7.966122,82.85625,5.75090163628727e-05,0,1,1,0.014298100622479,0.0105681383269569,0.0317108044248906,0.0269733067977543,0.03,0.03
4,loop,32,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,6.03277912520142e-06,5.84336597639346e-06,6.52574012921012e-07,0.000627123626417092,8.838438,82.85625,5.75090163628727e-05,0,1,1,0.014298100622479,0.0105681383269569,0.0317108044248906,0.0269733067977543,0.03,0.03
5,vectorized,32,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.13407292153872e-06,3.08299196716266e-06,9.46488708719629e-07,0.000909575649079564,34.739279,314.390909090909,9.16411087026939e-05,0,1,1,0.00728213635357246,0.00528742292730383,0.0158129349737318,0.00795221059864792,0.03,0.03
6,loop,32,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.13407292153872e-06,3.08299196716266e-06,9.46488708719629e-07,0.000909575649079564,35.379849,314.390909090909,9.16411087026939e-05,0,1,1,0.00728213635357246,0.00528742292730383,0.0158129349737318,0.00795221059864792,0.03,0.03
7,vectorized,32,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.13408268324405e-06,3.08299097195874e-06,9.4653815818092e-07,0.000909623170011864,10.006146,75.2863636363636,5.92300574360671e-05,0,1,1,0.00728213964138493,0.00528742180380644,0.0158129414621757,0.00795220765036841,0.03,0.03
8,loop,32,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.13408268324405e-06,3.08299097195874e-06,9.4653815818092e-07,0.000909623170011864,11.356886,75.2863636363636,5.92300574360671e-05,0,1,1,0.00728213964138493,0.00528742180380644,0.0158129414621757,0.00795220765036841,0.03,0.03
9,vectorized,32,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,2.61771155268369e-05,2.33092869773299e-05,1.83313363655444e-06,0.00176164142472882,27.402131,343,9.29384779980868e-05,0,1,0,0.119357892258315,0.162929492829443,0.258986333591548,0.30011724601097,0.09,0.12
10,loop,32,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,2.61771155268369e-05,2.33092869773299e-05,1.83313363655444e-06,0.00176164142472882,28.358709,343,9.29384779980868e-05,0,1,0,0.119357892258315,0.162929492829443,0.258986333591548,0.30011724601097,0.09,0.12
11,vectorized,32,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,2.61771419367181e-05,2.33092501914223e-05,1.83305725345703e-06,0.0017615680205722,7.568587,76.85,6.45593192334852e-05,0,1,0,0.119357899764953,0.162929494828554,0.258986353454607,0.300117263753338,0.09,0.12
12,loop,32,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,2.61771419367181e-05,2.33092501914223e-05,1.83305725345703e-06,0.0017615680205722,8.421127,76.85,6.45593192334852e-05,0,1,0,0.119357899764953,0.162929494828554,0.258986353454607,0.300117263753338,0.09,0.12
13,vectorized,32,400,central,RBGS,maxIter,needs_improvement,5500,5500,2.72133676059438e-05,2.0011885299126e-05,6.61894729498442e-06,0.00636080835048003,34.620888,316.7,9.31774606427752e-05,0,1,0,0.132961219785786,0.189003254316529,0.286367704514324,0.351604169496024,0.09,0.12
14,loop,32,400,central,RBGS,maxIter,needs_improvement,5500,5500,2.72133676059438e-05,2.0011885299126e-05,6.61894729498442e-06,0.00636080835048003,35.681793,316.7,9.31774606427752e-05,0,1,0,0.132961219785786,0.189003254316529,0.286367704514324,0.351604169496024,0.09,0.12
15,vectorized,32,400,central,RBSOR,maxIter,needs_improvement,5500,5500,2.72139694989515e-05,2.00121194613989e-05,6.61893304430008e-06,0.00636079465557238,10.149149,75.9318181818182,6.52177025162071e-05,0,1,0,0.132961226632782,0.189003262386794,0.286367726616436,0.351604199361498,0.09,0.12
16,loop,32,400,central,RBSOR,maxIter,needs_improvement,5500,5500,2.72139694989515e-05,2.00121194613989e-05,6.61893304430008e-06,0.00636079465557238,11.419614,75.9318181818182,6.52177025162071e-05,0,1,0,0.132961226632782,0.189003262386794,0.286367726616436,0.351604199361498,0.09,0.12
17,vectorized,32,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,1.22446841539919e-05,7.99806434776187e-06,3.38317456712887e-06,0.00325123075901085,27.694705,195.242857142857,8.72827263943451e-05,0,1,0,0.180889102324048,0.271763659646439,0.362031745985669,0.458341099742682,0.16,0.18
18,loop,32,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,1.22446841539919e-05,7.99806434776187e-06,3.38317456712887e-06,0.00325123075901085,29.256593,195.242857142857,8.72827263943451e-05,0,1,0,0.180889102324048,0.271763659646439,0.362031745985669,0.458341099742682,0.16,0.18
19,vectorized,32,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,1.22446950451133e-05,7.9980696489762e-06,3.38311382248381e-06,0.00325117238340694,10.395711,57.6642857142857,5.43281322189135e-05,0,1,0,0.180889099694873,0.271763663404259,0.362031738423458,0.458341105093312,0.16,0.18
20,loop,32,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,1.22446950451133e-05,7.9980696489762e-06,3.38311382248381e-06,0.00325117238340694,12.221244,57.6642857142857,5.43281322189135e-05,0,1,0,0.180889099694873,0.271763663404259,0.362031738423458,0.458341105093312,0.16,0.18
21,vectorized,32,1000,central,RBGS,maxIter,needs_improvement,8500,8500,4.70221744005087e-06,2.74061152106403e-06,1.7627092403403e-05,0.0169396357996703,28.354839,162.588235294118,8.78148556892778e-05,0,1,0,0.209119208852062,0.305136194628378,0.375117645632015,0.509717486235755,0.16,0.18
22,loop,32,1000,central,RBGS,maxIter,needs_improvement,8500,8500,4.70221744005087e-06,2.74061152106403e-06,1.7627092403403e-05,0.0169396357996703,30.621791,162.588235294118,8.78148556892778e-05,0,1,0,0.209119208852062,0.305136194628378,0.375117645632015,0.509717486235755,0.16,0.18
23,vectorized,32,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,4.70222408667509e-06,2.74061006812903e-06,1.76271437049245e-05,0.0169396851004324,11.159953,51.2852941176471,4.80505600102028e-05,0,1,0,0.209119204370539,0.305136193633354,0.375117638740818,0.509717483664529,0.16,0.18
24,loop,32,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,4.70222408667509e-06,2.74061006812903e-06,1.76271437049245e-05,0.0169396851004324,13.041504,51.2852941176471,4.80505600102028e-05,0,1,0,0.209119204370539,0.305136193633354,0.375117638740818,0.509717483664529,0.16,0.18
25,vectorized,64,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,7.97884815703642e-06,7.74838251224597e-06,9.23492537295758e-08,0.000366534188052686,331.907822,1337.66875,9.80531322402176e-05,0.00025,1,1,0.00971705431672609,0.00638564845757711,0.0229430758547593,0.0136188180192618,0.03,0.03
26,loop,64,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,7.97884815703642e-06,7.74838251224597e-06,9.23492537295758e-08,0.000366534188052686,335.039595,1337.66875,9.80531322402176e-05,0.00025,1,1,0.00971705431672609,0.00638564845757711,0.0229430758547593,0.0136188180192618,0.03,0.03
27,vectorized,64,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,7.97885608712356e-06,7.74840247369513e-06,9.23370414475447e-08,0.000366485717505305,59.857419,204.85,8.02159832271926e-05,0,1,1,0.00971705662413888,0.00638564348728677,0.0229430823200472,0.0136188175120019,0.03,0.03
28,loop,64,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,7.97885608712356e-06,7.74840247369513e-06,9.23370414475447e-08,0.000366485717505305,64.23146,204.85,8.02159832271926e-05,0,1,1,0.00971705662413888,0.00638564348728677,0.0229430823200472,0.0136188175120019,0.03,0.03
29,vectorized,64,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.37818468637563e-06,3.42478483339459e-06,6.17756035061469e-08,0.000245187370315897,402.934487,1187.48636363636,9.78963559448675e-05,0.000181818181818182,1,1,0.00344459068849091,0.00508954025814003,0.00717015930185616,0.0103264057266515,0.03,0.03
30,loop,64,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.37818468637563e-06,3.42478483339459e-06,6.17756035061469e-08,0.000245187370315897,407.910508,1187.48636363636,9.78963559448675e-05,0.000181818181818182,1,1,0.00344459068849091,0.00508954025814003,0.00717015930185616,0.0103264057266515,0.03,0.03
31,vectorized,64,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.37805781525785e-06,3.42443224232714e-06,6.17616373345092e-08,0.000245131938580667,73.034756,183.877272727273,7.87017974523819e-05,0,1,1,0.00344459664611141,0.00508953678526692,0.0071701800647648,0.0103263979680583,0.03,0.03
32,loop,64,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.37805781525785e-06,3.42443224232714e-06,6.17616373345092e-08,0.000245131938580667,79.649911,183.877272727273,7.87017974523819e-05,0,1,1,0.00344459664611141,0.00508953678526692,0.0071701800647648,0.0103263979680583,0.03,0.03
33,vectorized,64,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,5.01951616462271e-05,4.18930268359097e-05,5.70438675516276e-08,0.00022640711031241,380.83333,1548.6875,9.82123100573923e-05,0.02225,1,0,0.105668929267708,0.135676099205875,0.231682748203202,0.222444260543921,0.09,0.12
34,loop,64,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,5.01951616462271e-05,4.18930268359097e-05,5.70438675516276e-08,0.00022640711031241,385.931055,1548.6875,9.82123100573923e-05,0.02225,1,0,0.105668929267708,0.135676099205875,0.231682748203202,0.222444260543921,0.09,0.12
35,vectorized,64,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,5.01951678896218e-05,4.18930269079354e-05,5.7031142510652e-08,0.000226356604624778,59.385809,204.80625,7.94659329115533e-05,0,1,0,0.105668929138245,0.135676090626413,0.231682751761849,0.222444253024284,0.09,0.12
36,loop,64,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,5.01951678896218e-05,4.18930269079354e-05,5.7031142510652e-08,0.000226356604624778,63.875627,204.80625,7.94659329115533e-05,0,1,0,0.105668929138245,0.135676090626413,0.231682751761849,0.222444253024284,0.09,0.12
37,vectorized,64,400,central,RBGS,maxIter,validated_but_not_converged,5500,5500,4.99116026226598e-05,4.01450545299831e-05,1.27703961547952e-07,0.000506857023383822,500.364721,1477.45909090909,9.83589004006217e-05,0.0465454545454545,1,1,0.083989097076933,0.0994164316697955,0.167387771693567,0.15304076968813,0.09,0.12
38,loop,64,400,central,RBGS,maxIter,validated_but_not_converged,5500,5500,4.99116026226598e-05,4.01450545299831e-05,1.27703961547952e-07,0.000506857023383822,507.737056,1477.45909090909,9.83589004006217e-05,0.0465454545454545,1,1,0.083989097076933,0.0994164316697955,0.167387771693567,0.15304076968813,0.09,0.12
39,vectorized,64,400,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,4.99116112140929e-05,4.0145063960384e-05,1.2769970806771e-07,0.000506840141320741,76.454229,193.290909090909,7.80452949485201e-05,0,1,1,0.0839891061465613,0.0994164295910496,0.167387781209157,0.153040757525581,0.09,0.12
40,loop,64,400,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,4.99116112140929e-05,4.0145063960384e-05,1.2769970806771e-07,0.000506840141320741,83.172204,193.290909090909,7.80452949485201e-05,0,1,1,0.0839891061465613,0.0994164295910496,0.167387781209157,0.153040757525581,0.09,0.12
41,vectorized,64,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,3.44152371435369e-05,2.54011275893917e-05,9.59597103790721e-08,0.000380864090494537,454.992753,1056.43571428571,9.77776596704159e-05,0.000142857142857143,1,0,0.158348176653419,0.211541453599,0.332843716443773,0.320287639618525,0.16,0.18
42,loop,64,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,3.44152371435369e-05,2.54011275893917e-05,9.59597103790721e-08,0.000380864090494537,460.83916,1056.43571428571,9.77776596704159e-05,0.000142857142857143,1,0,0.158348176653419,0.211541453599,0.332843716443773,0.320287639618525,0.16,0.18
43,vectorized,64,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,3.44152320063129e-05,2.54011297980139e-05,9.59671524018267e-08,0.00038089362788285,79.043209,154.557142857143,7.77800383047514e-05,0,1,0,0.158348172091378,0.211541440094024,0.332843710272483,0.320287631318825,0.16,0.18
44,loop,64,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,3.44152320063129e-05,2.54011297980139e-05,9.59671524018267e-08,0.00038089362788285,86.701354,154.557142857143,7.77800383047514e-05,0,1,0,0.158348172091378,0.211541440094024,0.332843710272483,0.320287631318825,0.16,0.18
45,vectorized,64,1000,central,RBGS,maxIter,needs_improvement,8500,8500,5.35394700852676e-05,4.16763374325169e-05,5.83839760377328e-07,0.00231726000893762,574.747796,1097.5,9.80088314944875e-05,0.000117647058823529,1,0,0.181040491524482,0.242792916126541,0.369288486042466,0.373228253513274,0.16,0.18
46,loop,64,1000,central,RBGS,maxIter,needs_improvement,8500,8500,5.35394700852676e-05,4.16763374325169e-05,5.83839760377328e-07,0.00231726000893762,583.056713,1097.5,9.80088314944875e-05,0.000117647058823529,1,0,0.181040491524482,0.242792916126541,0.369288486042466,0.373228253513274,0.16,0.18
47,vectorized,64,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,5.35394460580985e-05,4.16763372106943e-05,5.83871575359544e-07,0.00231738628260203,99.1525,160.602941176471,7.97024667853396e-05,0,1,0,0.181040503444829,0.242792927182817,0.369288490241166,0.373228296736058,0.16,0.18
48,loop,64,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,5.35394460580985e-05,4.16763372106943e-05,5.83871575359544e-07,0.00231738628260203,108.402055,160.602941176471,7.97024667853396e-05,0,1,0,0.181040503444829,0.242792927182817,0.369288490241166,0.373228296736058,0.16,0.18
49,vectorized,128,100,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,4.3494970272534e-06,4.29266204360346e-06,3.84698709518598e-08,0.000620480548582547,3953.392333,2375.93928571429,0.000140371533296635,0.752,1,1,0.00653008199444084,0.00403638994947074,0.0153487348915875,0.00701426612158684,0.03,0.03
50,loop,128,100,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,4.3494970272534e-06,4.29266204360346e-06,3.84698709518598e-08,0.000620480548582547,3959.788395,2375.93928571429,0.000140371533296635,0.752,1,1,0.00653008199444084,0.00403638994947074,0.0153487348915875,0.00701426612158684,0.03,0.03
51,vectorized,128,100,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,4.34949952947405e-06,4.2926660757947e-06,3.84504737730855e-08,0.000620167691486095,950.067085,506.332142857143,9.31921712341717e-05,0,1,1,0.00653004458302203,0.00403637046786895,0.0153486673558775,0.0070142392509264,0.03,0.03
52,loop,128,100,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,4.34949952947405e-06,4.2926660757947e-06,3.84504737730855e-08,0.000620167691486095,983.58402,506.332142857143,9.31921712341717e-05,0,1,1,0.00653004458302203,0.00403637046786895,0.0153486673558775,0.0070142392509264,0.03,0.03
53,vectorized,128,100,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.5204308458579e-06,2.5554442274478e-06,2.73062580312982e-08,0.000440422635786808,4464.375361,2232.71176470588,0.000149392174024802,0.653294117647059,1,1,0.00305795191488484,0.0040871603695275,0.00657014447446766,0.00834565643421403,0.03,0.03
54,loop,128,100,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.5204308458579e-06,2.5554442274478e-06,2.73062580312982e-08,0.000440422635786808,4491.778587,2232.71176470588,0.000149392174024802,0.653294117647059,1,1,0.00305795191488484,0.0040871603695275,0.00657014447446766,0.00834565643421403,0.03,0.03
55,vectorized,128,100,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.52047541220157e-06,2.55553368994077e-06,2.72940267157277e-08,0.000440225356897972,1118.519958,488.497058823529,9.358209276524e-05,0,1,1,0.00305794586333386,0.00408720046691457,0.0065701049170655,0.00834576663545264,0.03,0.03
56,loop,128,100,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.52047541220157e-06,2.55553368994077e-06,2.72940267157277e-08,0.000440225356897972,1156.504785,488.497058823529,9.358209276524e-05,0,1,1,0.00305794586333386,0.00408720046691457,0.0065701049170655,0.00834576663545264,0.03,0.03
57,vectorized,128,400,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,3.06381780232901e-05,2.49835189863601e-05,1.33943357078958e-08,0.000216037240632651,4123.75396,2499.18214285714,0.000361222821363668,0.999428571428571,1,1,0.0778945719373035,0.094774832374098,0.154852462863106,0.145751878974378,0.09,0.12
58,loop,128,400,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,3.06381780232901e-05,2.49835189863601e-05,1.33943357078958e-08,0.000216037240632651,4136.903815,2499.18214285714,0.000361222821363668,0.999428571428571,1,1,0.0778945719373035,0.094774832374098,0.154852462863106,0.145751878974378,0.09,0.12
59,vectorized,128,400,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,3.06382125041527e-05,2.49835403070831e-05,1.33938081328201e-08,0.000216028731374255,1151.007484,609.739285714286,9.30158858501862e-05,0,1,1,0.0778945327860659,0.0947747829658474,0.154852389066292,0.145751818418978,0.09,0.12
60,loop,128,400,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,3.06382125041527e-05,2.49835403070831e-05,1.33938081328201e-08,0.000216028731374255,1178.33721,609.739285714286,9.30158858501862e-05,0,1,1,0.0778945327860659,0.0947747829658474,0.154852389066292,0.145751818418978,0.09,0.12
61,vectorized,128,400,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.77515265520722e-05,2.42671050326715e-05,1.33636720622786e-08,0.000215542666692492,4976.313921,2499.43235294118,0.000399920557594014,0.999529411764706,1,1,0.0538818116584221,0.0651806682393372,0.116777449230734,0.104634807477374,0.09,0.12
62,loop,128,400,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.77515265520722e-05,2.42671050326715e-05,1.33636720622786e-08,0.000215542666692492,5034.569032,2499.43235294118,0.000399920557594014,0.999529411764706,1,1,0.0538818116584221,0.0651806682393372,0.116777449230734,0.104634807477374,0.09,0.12
63,vectorized,128,400,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.77515413114882e-05,2.4267116798149e-05,1.33651816585031e-08,0.000215567014969997,1334.697653,585.088235294118,9.2999271936976e-05,0,1,1,0.0538817994074937,0.0651806476726486,0.116777427621173,0.10463477590456,0.09,0.12
64,loop,128,400,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.77515413114882e-05,2.4267116798149e-05,1.33651816585031e-08,0.000215567014969997,1379.366772,585.088235294118,9.2999271936976e-05,0,1,1,0.0538817994074937,0.0651806476726486,0.116777427621173,0.10463477590456,0.09,0.12
65,vectorized,128,1000,upwind,RBGS,maxIter,validated_but_not_converged,10000,10000,3.26203968116501e-05,2.71537864224569e-05,4.48093333793629e-09,7.22729738075745e-05,5898.55417,2499.19,0.000305247594763878,0.9992,1,1,0.129063683669637,0.152239171474054,0.273964461526573,0.236003693034558,0.16,0.18
66,loop,128,1000,upwind,RBGS,maxIter,validated_but_not_converged,10000,10000,3.26203968116501e-05,2.71537864224569e-05,4.48093333793629e-09,7.22729738075745e-05,5929.572305,2499.19,0.000305247594763878,0.9992,1,1,0.129063683669637,0.152239171474054,0.273964461526573,0.236003693034558,0.16,0.18
67,vectorized,128,1000,upwind,RBSOR,maxIter,validated_but_not_converged,10000,10000,3.26203865438635e-05,2.71537916502196e-05,4.48305724440442e-09,7.2307230294999e-05,1402.193441,519.9575,9.36613220346058e-05,0,1,1,0.129063590996917,0.152239027345098,0.273964205043058,0.236003527187686,0.16,0.18
68,loop,128,1000,upwind,RBSOR,maxIter,validated_but_not_converged,10000,10000,3.26203865438635e-05,2.71537916502196e-05,4.48305724440442e-09,7.2307230294999e-05,1450.200514,519.9575,9.36613220346058e-05,0,1,1,0.129063590996917,0.152239027345098,0.273964205043058,0.236003527187686,0.16,0.18
69,vectorized,128,1000,central,RBGS,maxIter,validated_but_not_converged,11500,11500,4.05661101672838e-05,3.41657474696999e-05,1.24171057370258e-08,0.000200275498432489,6770.608895,2499.70869565217,0.000309287535410801,0.999652173913044,1,1,0.110190529903347,0.110900816716268,0.222532865447141,0.186540282102496,0.16,0.18
70,loop,128,1000,central,RBGS,maxIter,validated_but_not_converged,11500,11500,4.05661101672838e-05,3.41657474696999e-05,1.24171057370258e-08,0.000200275498432489,6834.496,2499.70869565217,0.000309287535410801,0.999652173913044,1,1,0.110190529903347,0.110900816716268,0.222532865447141,0.186540282102496,0.16,0.18
71,vectorized,128,1000,central,RBSOR,maxIter,validated_but_not_converged,11500,11500,4.05660766440441e-05,3.41657374758053e-05,1.24170634090451e-08,0.000200274815724488,1638.137836,530.358695652174,9.27573244328731e-05,0,1,1,0.11019042939582,0.110900686509515,0.22253267296416,0.18654011721063,0.16,0.18
72,loop,128,1000,central,RBSOR,maxIter,validated_but_not_converged,11500,11500,4.05660766440441e-05,3.41657374758053e-05,1.24170634090451e-08,0.000200274815724488,1697.050539,530.358695652174,9.27573244328731e-05,0,1,1,0.11019042939582,0.110900686509515,0.22253267296416,0.18654011721063,0.16,0.18
